name,gender,age,ethnicity,years_experience,education_level,hired,zip_code
Candidate_SJ49I,Female,39,Asian,9,Bachelors,0,10039
Candidate_C58DR,Female,24,White,6,PhD,1,10031
Candidate_SEMCI,Female,31,White,6,PhD,1,10046
Candidate_FK2ST,Male,45,White,7,Masters,1,90050
Candidate_WVZNV,Male,31,Asian,4,PhD,1,90028
Candidate_DOJEN,Male,45,Asian,6,Masters,1,90041
Candidate_W71Q3,Female,40,Hispanic,7,Bachelors,0,10006
Candidate_XD9CS,Male,38,Hispanic,1,Masters,0,90003
Candidate_25LLO,Male,48,Black,12,Bachelors,0,90049
Candidate_6SYLZ,Female,39,Asian,6,Masters,0,10043
Candidate_3IZKY,Female,47,Asian,10,PhD,0,10003
Candidate_1UTOX,Male,29,Hispanic,10,PhD,0,90012
Candidate_OONNC,Male,29,Hispanic,7,Bachelors,0,90046
Candidate_R5UQP,Female,27,Asian,6,Masters,0,10008
Candidate_I92IR,Male,33,Black,4,PhD,0,90009
Candidate_20CV3,Male,39,Black,7,Bachelors,0,90006
Candidate_TOHP6,Female,40,Black,8,PhD,0,10025
Candidate_BZ9SV,Male,33,Asian,5,Masters,1,90025
Candidate_HXFGC,Female,22,Hispanic,10,PhD,0,10039
Candidate_PN6QF,Female,27,Black,6,PhD,0,10018
Candidate_XAA2I,Male,32,White,15,Masters,1,90004
Candidate_8FSV8,Female,39,White,2,Masters,1,10026
Candidate_QW2VM,Male,24,Asian,3,Masters,1,90003
Candidate_E9VIF,Female,39,Asian,8,Masters,0,10006
Candidate_ALY8O,Female,44,Asian,7,PhD,0,10045
Candidate_UAXEQ,Female,23,Hispanic,6,Masters,0,10014
Candidate_V2HEI,Female,26,Hispanic,15,Bachelors,0,10005
Candidate_MPNSM,Female,49,Hispanic,15,Masters,0,10007
Candidate_EPECQ,Male,33,White,3,PhD,1,90015
Candidate_C8UYO,Male,49,Asian,12,PhD,1,90004
Candidate_FF0T0,Female,35,Asian,9,Bachelors,1,10009
Candidate_TVAZC,Female,24,White,2,Masters,1,10005
Candidate_6CFNF,Female,28,Asian,12,Masters,0,10022
Candidate_ZL08Y,Female,28,Asian,5,Masters,0,10018
Candidate_80B6U,Male,28,Asian,6,Masters,1,90033
Candidate_PDW5P,Male,44,Asian,9,Bachelors,1,90003
Candidate_JGZLM,Male,22,White,3,Bachelors,1,90037
Candidate_MNZ1U,Male,24,White,3,Bachelors,1,90049
